This file shows errors that happen in  <HumanDetectionSSD.HumanDetection object at 0x7f813c1b34f0> Class
*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 278, 'Point_a_Y': 39, 'Point_b_X': 618, 'Point_b_Y': 523, 'Confidence': 0.9972414, 'Label': 'Person 1: 99.72%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 278, 'Point_a_Y': 39, 'Point_b_X': 618, 'Point_b_Y': 523, 'Confidence': 0.9972414, 'Label': 'Person 1: 99.72%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 280, 'Point_a_Y': 39, 'Point_b_X': 618, 'Point_b_Y': 524, 'Confidence': 0.9974043, 'Label': 'Person 1: 99.74%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 280, 'Point_a_Y': 39, 'Point_b_X': 618, 'Point_b_Y': 524, 'Confidence': 0.9974043, 'Label': 'Person 1: 99.74%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 277, 'Point_a_Y': 39, 'Point_b_X': 619, 'Point_b_Y': 524, 'Confidence': 0.9971156, 'Label': 'Person 1: 99.71%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 277, 'Point_a_Y': 39, 'Point_b_X': 619, 'Point_b_Y': 524, 'Confidence': 0.9971156, 'Label': 'Person 1: 99.71%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 276, 'Point_a_Y': 39, 'Point_b_X': 620, 'Point_b_Y': 525, 'Confidence': 0.99685884, 'Label': 'Person 1: 99.69%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 276, 'Point_a_Y': 39, 'Point_b_X': 620, 'Point_b_Y': 525, 'Confidence': 0.99685884, 'Label': 'Person 1: 99.69%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 277, 'Point_a_Y': 39, 'Point_b_X': 621, 'Point_b_Y': 525, 'Confidence': 0.99687386, 'Label': 'Person 1: 99.69%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 277, 'Point_a_Y': 39, 'Point_b_X': 621, 'Point_b_Y': 525, 'Confidence': 0.99687386, 'Label': 'Person 1: 99.69%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 277, 'Point_a_Y': 38, 'Point_b_X': 621, 'Point_b_Y': 525, 'Confidence': 0.9966119, 'Label': 'Person 1: 99.66%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 277, 'Point_a_Y': 38, 'Point_b_X': 621, 'Point_b_Y': 525, 'Confidence': 0.9966119, 'Label': 'Person 1: 99.66%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 282, 'Point_a_Y': 24, 'Point_b_X': 624, 'Point_b_Y': 516, 'Confidence': 0.99674416, 'Label': 'Person 1: 99.67%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 282, 'Point_a_Y': 24, 'Point_b_X': 624, 'Point_b_Y': 516, 'Confidence': 0.99674416, 'Label': 'Person 1: 99.67%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 283, 'Point_a_Y': 24, 'Point_b_X': 624, 'Point_b_Y': 517, 'Confidence': 0.99706525, 'Label': 'Person 1: 99.71%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 283, 'Point_a_Y': 24, 'Point_b_X': 624, 'Point_b_Y': 517, 'Confidence': 0.99706525, 'Label': 'Person 1: 99.71%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 286, 'Point_a_Y': 24, 'Point_b_X': 624, 'Point_b_Y': 517, 'Confidence': 0.99768615, 'Label': 'Person 1: 99.77%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 286, 'Point_a_Y': 24, 'Point_b_X': 624, 'Point_b_Y': 517, 'Confidence': 0.99768615, 'Label': 'Person 1: 99.77%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 284, 'Point_a_Y': 22, 'Point_b_X': 625, 'Point_b_Y': 517, 'Confidence': 0.99625105, 'Label': 'Person 1: 99.63%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 284, 'Point_a_Y': 22, 'Point_b_X': 625, 'Point_b_Y': 517, 'Confidence': 0.99625105, 'Label': 'Person 1: 99.63%'}} ,*********** i is: 0
