FrameNumber,ROI
406,"[325, 30, 702, 531]"
407,"[326, 29, 701, 531]"
408,"[326, 27, 701, 531]"
409,"[326, 25, 702, 532]"
410,"[325, 25, 703, 532]"
411,"[325, 24, 703, 532]"
412,"[326, 24, 704, 532]"
413,"[326, 23, 704, 532]"
414,"[324, 23, 704, 532]"
415,"[322, 24, 705, 532]"
416,"[322, 24, 705, 532]"
417,"[324, 25, 704, 532]"
418,"[325, 25, 703, 532]"
419,"[326, 25, 702, 532]"
420,"[326, 26, 702, 532]"
421,"[327, 28, 702, 531]"
422,"[328, 28, 702, 531]"
423,"[326, 29, 702, 532]"
424,"[324, 29, 702, 532]"
425,"[322, 29, 702, 532]"
426,"[322, 29, 703, 532]"
427,"[323, 30, 703, 532]"
428,"[323, 30, 702, 531]"
429,"[325, 30, 702, 531]"
430,"[325, 30, 702, 531]"
431,"[325, 30, 701, 531]"
432,"[326, 30, 701, 531]"
433,"[325, 29, 701, 531]"
434,"[325, 29, 701, 531]"
435,"[326, 29, 701, 531]"
436,"[324, 29, 700, 531]"
437,"[324, 29, 700, 531]"
438,"[324, 29, 701, 531]"
439,"[324, 29, 702, 531]"
440,"[323, 30, 702, 531]"
441,"[323, 30, 702, 531]"
442,"[322, 30, 702, 531]"
443,"[322, 30, 702, 531]"
444,"[322, 31, 702, 531]"
445,"[324, 30, 702, 531]"
446,"[324, 30, 701, 531]"
447,"[324, 30, 702, 531]"
448,"[324, 31, 702, 531]"
449,"[326, 31, 702, 532]"
450,"[326, 31, 703, 532]"
451,"[326, 31, 703, 531]"
452,"[326, 31, 703, 531]"
453,"[326, 31, 703, 531]"
454,"[327, 31, 702, 531]"
455,"[328, 31, 702, 531]"
456,"[328, 30, 703, 531]"
457,"[327, 30, 703, 531]"
458,"[326, 30, 702, 531]"
459,"[326, 30, 702, 531]"
460,"[326, 30, 702, 531]"
461,"[326, 30, 702, 531]"
462,"[326, 30, 702, 531]"
463,"[328, 30, 704, 531]"
464,"[327, 30, 704, 531]"
465,"[326, 30, 704, 531]"
466,"[326, 30, 704, 531]"
467,"[326, 30, 704, 531]"
468,"[325, 30, 704, 531]"
469,"[324, 30, 704, 531]"
470,"[324, 31, 704, 531]"
471,"[325, 31, 704, 531]"
472,"[325, 31, 704, 531]"
473,"[324, 30, 704, 531]"
474,"[322, 30, 705, 531]"
475,"[322, 30, 705, 531]"
476,"[324, 31, 705, 531]"
477,"[325, 32, 707, 531]"
478,"[325, 32, 707, 531]"
479,"[325, 32, 708, 531]"
480,"[325, 33, 708, 531]"
481,"[325, 33, 705, 531]"
482,"[326, 33, 704, 531]"
483,"[324, 33, 705, 532]"
484,"[323, 33, 705, 532]"
485,"[322, 33, 706, 532]"
486,"[322, 33, 706, 532]"
487,"[321, 33, 706, 531]"
488,"[321, 33, 705, 531]"
489,"[322, 33, 704, 531]"
490,"[323, 33, 705, 531]"
491,"[323, 33, 705, 531]"
492,"[324, 33, 704, 531]"
493,"[326, 32, 704, 531]"
494,"[326, 32, 705, 531]"
495,"[325, 32, 705, 531]"
496,"[325, 32, 705, 531]"
497,"[325, 32, 706, 532]"
498,"[325, 33, 707, 532]"
499,"[325, 32, 707, 532]"
500,"[324, 32, 707, 532]"
501,"[324, 32, 707, 532]"
502,"[324, 33, 708, 532]"
503,"[323, 33, 708, 532]"
504,"[323, 33, 707, 532]"
505,"[323, 33, 705, 532]"
506,"[323, 33, 705, 532]"
507,"[322, 33, 707, 532]"
508,"[322, 33, 707, 532]"
509,"[323, 33, 706, 532]"
510,"[322, 33, 709, 532]"
511,"[322, 33, 709, 532]"
512,"[323, 33, 708, 532]"
513,"[322, 33, 708, 532]"
514,"[322, 33, 707, 532]"
